Vis,rawData1,rawData2,TruePercent,ReportedPercent
BarChart,37,86,43,48
BarChart,51,6,11,23
BarChart,45,18,40,54
PieChart,12,56,21,40
BarChart,69,84,82,84
PieChart,19,87,21,27
TreeMap,69,62,89,75
TreeMap,11,87,12,25
BarChart,62,43,69,75
PieChart,50,88,56,50
PieChart,20,10,10,25
TreeMap,84,73,86,80
PieChart,75,82,91,95
TreeMap,1,40,2,15
TreeMap,66,20,30,30
PieChart,73,89,82,100
TreeMap,84,82,97,100
TreeMap,28,23,82,88
TreeMap,55,17,30,30
TreeMap,69,29,42,50
TreeMap,4,15,26,50
PieChart,72,53,73,80
PieChart,25,18,72,100
BarChart,44,30,68,80
BarChart,52,18,34,45
BarChart,14,22,63,65
TreeMap,40,87,45,70
BarChart,57,28,49,60
TreeMap,88,40,45,30
BarChart,28,3,10,22
TreeMap,37,20,54,56
BarChart,27,53,50,66
BarChart,44,6,13,23
PieChart,39,2,5,11
BarChart,10,33,30,48
TreeMap,76,50,65,66
PieChart,34,61,55,45
TreeMap,52,66,78,66
PieChart,69,9,13,22
PieChart,78,77,98,99
PieChart,82,87,94,99
BarChart,60,75,80,88
PieChart,61,32,52,33
PieChart,73,24,32,22
BarChart,10,48,20,33
BarChart,43,8,18,33
PieChart,51,69,73,44
PieChart,15,24,62,77
PieChart,62,33,53,55
TreeMap,55,14,25,33
BarChart,46,15,32,55
PieChart,13,62,20,22
PieChart,36,89,40,44
BarChart,23,77,29,44
BarChart,57,54,94,99
PieChart,73,52,71,88
TreeMap,45,82,54,66
BarChart,65,23,35,44
BarChart,20,67,29,44
TreeMap,55,39,70,77
BarChart,53,81,65,77
PieChart,4,47,8,22
TreeMap,54,40,74,88
PieChart,14,9,64,88
TreeMap,38,30,78,88
BarChart,75,13,17,33
BarChart,38,26,68,77
TreeMap,80,25,31,22
PieChart,49,77,63,77
BarChart,63,49,77,77
TreeMap,26,56,46,44
TreeMap,65,50,76,66
TreeMap,67,47,70,55
TreeMap,51,24,47,44
BarChart,10,77,12,22
TreeMap,12,71,16,33
PieChart,67,35,52,33
TreeMap,28,52,53,55
PieChart,83,58,69,66
BarChart,73,68,93,88
PieChart,29,7,24,44
TreeMap,55,3,5,22
TreeMap,9,12,75,88
TreeMap,87,51,58,55
PieChart,77,6,7,22
TreeMap,26,32,81,99
BarChart,74,20,27,44
BarChart,15,76,19,30
BarChart,44,59,74,80
BarChart,37,75,49,68
PieChart,82,71,86,90
TreeMap,79,47,59,85
BarChart,27,5,18,40
TreeMap,5,75,6,20
PieChart,5,14,35,76
PieChart,74,79,93,89
PieChart,49,51,96,87
BarChart,36,68,52,76
TreeMap,38,59,64,30
PieChart,57,34,59,87
TreeMap,89,39,43,44
BarChart,43,30,69,68
TreeMap,44,55,80,87
BarChart,11,64,17,34
TreeMap,77,57,74,88
BarChart,48,85,56,78
BarChart,45,56,80,88
TreeMap,31,1,3,25
BarChart,17,79,21,30
PieChart,84,86,97,94
PieChart,85,6,7,21
BarChart,30,58,51,67
PieChart,22,15,68,95
PieChart,26,18,69,87
PieChart,71,67,94,97
TreeMap,38,4,10,25
BarChart,21,23,91,95
TreeMap,78,55,70,80
BarChart,70,26,37,55
BarChart,70,38,54,67
TreeMap,63,50,79,84
TreeMap,39,59,66,83
PieChart,6,58,10,20
PieChart,89,74,83,93
TreeMap,22,72,30,43
PieChart,54,17,31,38
TreeMap,16,62,25,43
TreeMap,16,18,88,91
TreeMap,14,18,77,92
TreeMap,57,83,68,89
BarChart,76,33,43,50
PieChart,25,21,84,87
PieChart,49,3,6,25
TreeMap,7,16,43,50
TreeMap,16,16,100,96
BarChart,10,85,14,14
BarChart,7,57,12,20
PieChart,27,58,46,65
TreeMap,80,5,6,10
PieChart,35,56,62,79
BarChart,52,82,63,78
PieChart,4,86,4,9
PieChart,20,80,25,17
BarChart,21,25,84,85
BarChart,88,42,47,56
PieChart,86,48,55,59
TreeMap,32,40,80,87
PieChart,6,64,9,20
BarChart,84,71,84,80
TreeMap,51,48,94,80
TreeMap,79,88,89,82
PieChart,38,23,60,85
TreeMap,1,79,1,4
TreeMap,59,72,81,86
TreeMap,81,72,88,90
PieChart,36,22,61,89
BarChart,43,12,27,45
TreeMap,21,59,35,34
BarChart,68,12,17,27
BarChart,31,46,67,75
TreeMap,37,12,32,50
TreeMap,87,79,90,94
PieChart,18,21,85,97
PieChart,74,66,89,91
PieChart,87,50,57,80
PieChart,34,43,79,80
BarChart,65,85,76,82
PieChart,62,70,88,82
PieChart,76,26,34,27
TreeMap,23,51,45,28
BarChart,52,16,30,40
PieChart,53,8,15,17
BarChart,88,60,68,70
TreeMap,54,89,60,70
TreeMap,75,83,90,90
TreeMap,53,87,60,80
PieChart,75,8,10,20
BarChart,57,24,42,50
PieChart,36,46,78,96
PieChart,15,88,17,23
PieChart,62,81,76,86
BarChart,56,41,73,75
TreeMap,44,1,2,15
TreeMap,8,39,20,21
BarChart,58,65,89,86
PieChart,66,5,7,21
PieChart,40,64,62,73
BarChart,1,72,1,10
BarChart,4,71,5,10
BarChart,15,25,60,87
BarChart,31,25,80,88
PieChart,35,39,89,88
BarChart,18,76,23,37
PieChart,80,19,23,40
TreeMap,51,79,64,80
BarChart,28,28,100,97
BarChart,38,20,52,67
TreeMap,89,70,78,87
BarChart,52,23,44,56
TreeMap,23,87,26,40
TreeMap,42,85,49,70
TreeMap,78,88,88,80
BarChart,51,21,41,54
BarChart,30,22,73,87
PieChart,46,41,89,90
PieChart,38,63,60,87
TreeMap,38,45,84,85
TreeMap,35,40,87,90
BarChart,14,10,71,85
PieChart,39,55,70,93
BarChart,40,29,72,85
BarChart,88,48,54,68
PieChart,25,87,28,25
PieChart,72,18,25,25
TreeMap,74,64,86,90
BarChart,8,10,80,95
TreeMap,26,62,41,50
TreeMap,80,15,18,30
BarChart,28,86,32,45
BarChart,37,67,55,70
PieChart,31,89,34,33
BarChart,32,16,50,75
TreeMap,39,25,64,80
PieChart,27,39,69,90
TreeMap,2,12,16,45
BarChart,23,16,69,80
TreeMap,78,33,42,55
TreeMap,16,76,21,25
BarChart,50,69,72,80
BarChart,85,79,92,92
BarChart,12,10,83,94
PieChart,6,11,54,90
PieChart,60,46,76,87
BarChart,7,23,30,48
TreeMap,16,71,22,20
PieChart,36,42,85,50
BarChart,64,21,32,40
TreeMap,83,31,37,40
TreeMap,20,44,45,60
TreeMap,22,69,31,30
PieChart,19,48,39,45
TreeMap,12,23,52,70
TreeMap,19,3,15,40
PieChart,8,74,10,15
TreeMap,79,57,72,70
PieChart,59,37,62,75
BarChart,5,54,9,23
TreeMap,18,20,90,97
PieChart,85,70,82,78
TreeMap,70,8,11,20
BarChart,63,65,96,95
PieChart,32,33,96,88
PieChart,2,12,16,88
BarChart,46,28,60,72
TreeMap,50,35,70,80
PieChart,38,63,60,81
PieChart,14,77,18,29
TreeMap,9,34,26,54
TreeMap,10,50,10,18
BarChart,40,50,80,81
BarChart,10,36,27,27
BarChart,78,60,76,78
PieChart,9,77,11,11
PieChart,27,85,31,48
PieChart,59,2,3,34
BarChart,83,38,45,55
PieChart,60,84,71,78
